,pokemon,base_experience,height,name,order,weight,abilities,moves,types
10,aggron,265,21,aggron,411,3600,"'sturdy', 'rock-head', 'heavy-metal'","'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'cut', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'roar', 'flamethrower', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'low-kick', 'counter', 'seismic-toss', 'strength', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'earthquake', 'dig', 'toxic', 'mimic', 'screech', 'double-team', 'harden', 'defense-curl', 'fire-blast', 'rest', 'rock-slide', 'substitute', 'snore', 'reversal', 'spite', 'protect', 'scary-face', 'mud-slap', 'icy-wind', 'outrage', 'sandstorm', 'endure', 'rollout', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'iron-tail', 'metal-claw', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'ancient-power', 'rock-smash', 'whirlpool', 'uproar', 'facade', 'focus-punch', 'taunt', 'superpower', 'brick-break', 'endeavor', 'secret-power', 'rock-tomb', 'metal-sound', 'sand-tomb', 'aerial-ace', 'iron-defense', 'block', 'dragon-claw', 'rock-blast', 'shock-wave', 'water-pulse', 'natural-gift', 'metal-burst', 'payback', 'fling', 'magnet-rise', 'rock-polish', 'dark-pulse', 'aqua-tail', 'dragon-pulse', 'focus-blast', 'earth-power', 'giga-impact', 'avalanche', 'shadow-claw', 'flash-cannon', 'rock-climb', 'iron-head', 'stone-edge', 'captivate', 'stealth-rock', 'hone-claws', 'autotomize', 'smack-down', 'heavy-slam', 'round', 'incinerate', 'bulldoze', 'dragon-tail', 'confide', 'power-up-punch', 'high-horsepower', 'smart-strike', 'brutal-swing', 'stomping-tantrum', 'body-press', 'steel-beam', 'steel-roller', 'meteor-beam'","'steel', 'rock'"
11,aggron-mega,284,22,aggron-mega,412,3950,'filter',"'fire-punch', 'ice-punch', 'thunder-punch', 'cut', 'headbutt', 'tackle', 'take-down', 'double-edge', 'roar', 'flamethrower', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'low-kick', 'strength', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'earthquake', 'dig', 'toxic', 'double-team', 'harden', 'fire-blast', 'rest', 'rock-slide', 'substitute', 'snore', 'spite', 'protect', 'mud-slap', 'icy-wind', 'outrage', 'sandstorm', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'metal-claw', 'hidden-power', 'rain-dance', 'sunny-day', 'rock-smash', 'uproar', 'facade', 'focus-punch', 'taunt', 'superpower', 'brick-break', 'endeavor', 'secret-power', 'rock-tomb', 'metal-sound', 'aerial-ace', 'iron-defense', 'block', 'dragon-claw', 'shock-wave', 'water-pulse', 'metal-burst', 'payback', 'fling', 'magnet-rise', 'rock-polish', 'dark-pulse', 'aqua-tail', 'dragon-pulse', 'focus-blast', 'earth-power', 'giga-impact', 'shadow-claw', 'flash-cannon', 'iron-head', 'stone-edge', 'stealth-rock', 'hone-claws', 'autotomize', 'smack-down', 'heavy-slam', 'round', 'incinerate', 'bulldoze', 'dragon-tail', 'confide', 'power-up-punch', 'smart-strike', 'brutal-swing', 'stomping-tantrum'",'steel'
12,aipom,72,8,aipom,285,115,"'run-away', 'pickup', 'skill-link'","'double-slap', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'scratch', 'cut', 'slam', 'mega-kick', 'sand-attack', 'headbutt', 'body-slam', 'double-edge', 'tail-whip', 'low-kick', 'counter', 'seismic-toss', 'strength', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'dig', 'toxic', 'agility', 'mimic', 'screech', 'double-team', 'defense-curl', 'metronome', 'swift', 'dream-eater', 'fury-swipes', 'rest', 'substitute', 'thief', 'nightmare', 'snore', 'curse', 'spite', 'protect', 'mud-slap', 'zap-cannon', 'detect', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'baton-pass', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'shadow-ball', 'rock-smash', 'beat-up', 'fake-out', 'uproar', 'facade', 'focus-punch', 'taunt', 'role-play', 'revenge', 'brick-break', 'knock-off', 'snatch', 'secret-power', 'astonish', 'tickle', 'aerial-ace', 'bounce', 'covet', 'shock-wave', 'water-pulse', 'natural-gift', 'u-turn', 'payback', 'fling', 'last-resort', 'seed-bomb', 'switcheroo', 'nasty-plot', 'shadow-claw', 'gunk-shot', 'captivate', 'grass-knot', 'double-hit', 'hone-claws', 'low-sweep', 'foul-play', 'round', 'quick-guard', 'acrobatics', 'retaliate', 'work-up', 'tail-slap', 'confide', 'power-up-punch'",'normal'
13,alakazam,250,15,alakazam,105,480,"'synchronize', 'inner-focus', 'magic-guard'","'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'disable', 'psybeam', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'thunder-wave', 'dig', 'toxic', 'confusion', 'psychic', 'rage', 'teleport', 'night-shade', 'mimic', 'double-team', 'recover', 'barrier', 'light-screen', 'reflect', 'bide', 'metronome', 'swift', 'skull-bash', 'kinesis', 'dream-eater', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute', 'thief', 'nightmare', 'snore', 'curse', 'protect', 'zap-cannon', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'dynamic-punch', 'encore', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'future-sight', 'torment', 'facade', 'focus-punch', 'taunt', 'trick', 'role-play', 'magic-coat', 'recycle', 'knock-off', 'skill-swap', 'imprison', 'snatch', 'secret-power', 'signal-beam', 'calm-mind', 'shock-wave', 'gravity', 'miracle-eye', 'natural-gift', 'embargo', 'fling', 'power-swap', 'guard-swap', 'drain-punch', 'focus-blast', 'energy-ball', 'giga-impact', 'nasty-plot', 'psycho-cut', 'zen-headbutt', 'trick-room', 'captivate', 'grass-knot', 'charge-beam', 'wonder-room', 'psyshock', 'telekinesis', 'magic-room', 'foul-play', 'round', 'stored-power', 'ally-switch', 'confide', 'dazzling-gleam', 'laser-focus', 'psychic-terrain', 'speed-swap', 'expanding-force'",'psychic'
14,alakazam-mega,270,12,alakazam-mega,106,480,'trace',"'fire-punch', 'ice-punch', 'thunder-punch', 'headbutt', 'disable', 'psybeam', 'hyper-beam', 'seismic-toss', 'thunder-wave', 'dig', 'toxic', 'confusion', 'psychic', 'teleport', 'night-shade', 'double-team', 'recover', 'barrier', 'light-screen', 'reflect', 'kinesis', 'dream-eater', 'flash', 'rest', 'tri-attack', 'substitute', 'thief', 'snore', 'protect', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'encore', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'future-sight', 'torment', 'facade', 'focus-punch', 'taunt', 'trick', 'role-play', 'magic-coat', 'recycle', 'knock-off', 'skill-swap', 'snatch', 'secret-power', 'signal-beam', 'calm-mind', 'shock-wave', 'gravity', 'miracle-eye', 'embargo', 'fling', 'drain-punch', 'focus-blast', 'energy-ball', 'giga-impact', 'psycho-cut', 'zen-headbutt', 'trick-room', 'grass-knot', 'charge-beam', 'wonder-room', 'psyshock', 'telekinesis', 'magic-room', 'foul-play', 'round', 'ally-switch', 'confide', 'dazzling-gleam', 'laser-focus'",'psychic'
15,alcremie,173,3,alcremie,1053,5,"'sweet-veil', 'aroma-veil'","'tackle', 'hyper-beam', 'solar-beam', 'psychic', 'recover', 'light-screen', 'metronome', 'acid-armor', 'rest', 'tri-attack', 'substitute', 'snore', 'protect', 'sweet-kiss', 'giga-drain', 'endure', 'charm', 'attract', 'sleep-talk', 'safeguard', 'encore', 'sweet-scent', 'facade', 'helping-hand', 'imprison', 'aromatherapy', 'fake-tears', 'magical-leaf', 'calm-mind', 'fling', 'drain-punch', 'energy-ball', 'giga-impact', 'wonder-room', 'psyshock', 'magic-room', 'entrainment', 'round', 'stored-power', 'draining-kiss', 'misty-terrain', 'play-rough', 'mystical-fire', 'aromatic-mist', 'dazzling-gleam', 'decorate', 'misty-explosion'",'fairy'
16,alcremie-gmax,173,300,alcremie-gmax,-1,10000,"'sweet-veil', 'aroma-veil'",,'fairy'
17,alomomola,165,12,alomomola,716,316,"'healer', 'hydration', 'regenerator'","'pound', 'double-slap', 'body-slam', 'take-down', 'mist', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'toxic', 'psychic', 'double-team', 'light-screen', 'waterfall', 'rest', 'substitute', 'snore', 'protect', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'pain-split', 'baton-pass', 'hidden-power', 'rain-dance', 'mirror-coat', 'psych-up', 'shadow-ball', 'whirlpool', 'hail', 'facade', 'helping-hand', 'wish', 'magic-coat', 'knock-off', 'skill-swap', 'refresh', 'secret-power', 'dive', 'tickle', 'bounce', 'water-sport', 'calm-mind', 'water-pulse', 'wake-up-slap', 'healing-wish', 'brine', 'aqua-ring', 'giga-impact', 'zen-headbutt', 'aqua-jet', 'wide-guard', 'soak', 'round', 'scald', 'heal-pulse', 'acrobatics', 'misty-terrain', 'play-rough', 'play-nice', 'confide', 'liquidation', 'tera-blast', 'snowscape', 'chilling-water'",'water'
18,altaria,172,11,altaria,446,206,"'natural-cure', 'cloud-nine'","'fly', 'fury-attack', 'body-slam', 'take-down', 'double-edge', 'growl', 'roar', 'sing', 'flamethrower', 'mist', 'ice-beam', 'hyper-beam', 'peck', 'solar-beam', 'fire-spin', 'earthquake', 'toxic', 'agility', 'mimic', 'double-team', 'fire-blast', 'swift', 'dream-eater', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'protect', 'mud-slap', 'perish-song', 'outrage', 'endure', 'false-swipe', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'heal-bell', 'return', 'frustration', 'safeguard', 'dragon-breath', 'iron-tail', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'psych-up', 'rock-smash', 'uproar', 'heat-wave', 'will-o-wisp', 'facade', 'helping-hand', 'refresh', 'secret-power', 'hyper-voice', 'astonish', 'air-cutter', 'aerial-ace', 'dragon-claw', 'dragon-dance', 'roost', 'natural-gift', 'pluck', 'tailwind', 'power-swap', 'dragon-pulse', 'brave-bird', 'giga-impact', 'defog', 'draco-meteor', 'captivate', 'ominous-wind', 'hone-claws', 'wonder-room', 'round', 'echoed-voice', 'incinerate', 'acrobatics', 'bulldoze', 'cotton-guard', 'hurricane', 'disarming-voice', 'play-rough', 'moonblast', 'confide', 'dazzling-gleam', 'breaking-swipe', 'dual-wingbeat', 'tera-blast', 'snowscape', 'trailblaze'","'dragon', 'flying'"
19,altaria-mega,207,15,altaria-mega,447,206,'pixilate',"'fly', 'fury-attack', 'take-down', 'growl', 'roar', 'sing', 'flamethrower', 'mist', 'ice-beam', 'hyper-beam', 'peck', 'solar-beam', 'earthquake', 'toxic', 'double-team', 'fire-blast', 'dream-eater', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'protect', 'perish-song', 'outrage', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'heal-bell', 'return', 'frustration', 'safeguard', 'dragon-breath', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'rock-smash', 'uproar', 'heat-wave', 'facade', 'refresh', 'secret-power', 'hyper-voice', 'astonish', 'aerial-ace', 'dragon-claw', 'dragon-dance', 'roost', 'natural-gift', 'pluck', 'tailwind', 'dragon-pulse', 'giga-impact', 'defog', 'draco-meteor', 'hone-claws', 'wonder-room', 'round', 'echoed-voice', 'incinerate', 'bulldoze', 'cotton-guard', 'disarming-voice', 'moonblast', 'confide', 'dazzling-gleam'","'dragon', 'fairy'"
20,amaura,72,13,amaura,833,252,"'refrigerate', 'snow-warning'","'body-slam', 'take-down', 'growl', 'roar', 'mist', 'ice-beam', 'blizzard', 'aurora-beam', 'hyper-beam', 'thunderbolt', 'thunder-wave', 'rock-throw', 'toxic', 'double-team', 'barrier', 'light-screen', 'haze', 'reflect', 'dream-eater', 'flash', 'rest', 'rock-slide', 'substitute', 'snore', 'powder-snow', 'protect', 'icy-wind', 'outrage', 'sandstorm', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'encore', 'iron-tail', 'hidden-power', 'rain-dance', 'mirror-coat', 'psych-up', 'ancient-power', 'rock-smash', 'hail', 'facade', 'nature-power', 'secret-power', 'hyper-voice', 'weather-ball', 'rock-tomb', 'iron-defense', 'mud-shot', 'calm-mind', 'rock-blast', 'water-pulse', 'magnet-rise', 'rock-polish', 'dark-pulse', 'aqua-tail', 'earth-power', 'avalanche', 'zen-headbutt', 'flash-cannon', 'discharge', 'iron-head', 'stone-edge', 'stealth-rock', 'charge-beam', 'round', 'echoed-voice', 'bulldoze', 'frost-breath', 'dragon-tail', 'freeze-dry', 'confide', 'aurora-veil', 'meteor-beam'","'rock', 'ice'"
21,ambipom,169,12,ambipom,286,203,"'technician', 'pickup', 'skill-link'","'fire-punch', 'ice-punch', 'thunder-punch', 'scratch', 'cut', 'sand-attack', 'headbutt', 'tail-whip', 'hyper-beam', 'low-kick', 'strength', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'dig', 'toxic', 'agility', 'screech', 'double-team', 'swift', 'dream-eater', 'fury-swipes', 'rest', 'substitute', 'thief', 'snore', 'spite', 'protect', 'mud-slap', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'baton-pass', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'shadow-ball', 'rock-smash', 'uproar', 'facade', 'focus-punch', 'taunt', 'role-play', 'brick-break', 'knock-off', 'snatch', 'secret-power', 'astonish', 'tickle', 'aerial-ace', 'bounce', 'covet', 'shock-wave', 'water-pulse', 'natural-gift', 'u-turn', 'payback', 'fling', 'last-resort', 'seed-bomb', 'giga-impact', 'nasty-plot', 'shadow-claw', 'gunk-shot', 'captivate', 'grass-knot', 'double-hit', 'hone-claws', 'low-sweep', 'foul-play', 'round', 'acrobatics', 'retaliate', 'work-up', 'dual-chop', 'confide', 'power-up-punch', 'laser-focus'",'normal'
22,amoonguss,162,6,amoonguss,713,105,"'effect-spore', 'regenerator'","'body-slam', 'hyper-beam', 'absorb', 'mega-drain', 'growth', 'solar-beam', 'stun-spore', 'toxic', 'double-team', 'bide', 'spore', 'flash', 'rest', 'substitute', 'snore', 'protect', 'scary-face', 'feint-attack', 'sludge-bomb', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'sweet-scent', 'synthesis', 'hidden-power', 'rain-dance', 'sunny-day', 'facade', 'nature-power', 'ingrain', 'secret-power', 'astonish', 'bullet-seed', 'magical-leaf', 'payback', 'gastro-acid', 'worry-seed', 'seed-bomb', 'energy-ball', 'giga-impact', 'leaf-storm', 'grass-knot', 'venoshock', 'rage-powder', 'foul-play', 'after-you', 'round', 'clear-smog', 'hex', 'grassy-terrain', 'confide', 'pollen-puff', 'stomping-tantrum', 'tera-blast'","'grass', 'poison'"
