,pokemon,base_experience,height,name,order,weight,abilities,moves,types,color
10,archen,71,5,archen,688,95,['defeatist'],"['cut', 'wing-attack', 'thrash', 'leer', 'bite', 'roar', 'rock-throw', 'earthquake', 'dig', 'toxic', 'agility', 'quick-attack', 'double-team', 'swift', 'rest', 'rock-slide', 'substitute', 'snore', 'protect', 'scary-face', 'sandstorm', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'dragon-breath', 'iron-tail', 'hidden-power', 'crunch', 'ancient-power', 'rock-smash', 'uproar', 'heat-wave', 'torment', 'facade', 'taunt', 'knock-off', 'endeavor', 'secret-power', 'rock-tomb', 'aerial-ace', 'iron-defense', 'dragon-claw', 'bounce', 'rock-blast', 'roost', 'pluck', 'tailwind', 'u-turn', 'assurance', 'rock-polish', 'aqua-tail', 'dragon-pulse', 'earth-power', 'switcheroo', 'shadow-claw', 'zen-headbutt', 'defog', 'stone-edge', 'stealth-rock', 'head-smash', 'hone-claws', 'smack-down', 'round', 'quick-guard', 'ally-switch', 'acrobatics', 'bulldoze', 'confide', 'meteor-beam', 'lash-out', 'dual-wingbeat']","['rock', 'flying']",yellow
11,aron,66,4,aron,409,600,"['sturdy', 'rock-head', 'heavy-metal']","['cut', 'stomp', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'roar', 'strength', 'earthquake', 'dig', 'toxic', 'mimic', 'screech', 'double-team', 'harden', 'defense-curl', 'rest', 'rock-slide', 'substitute', 'snore', 'curse', 'reversal', 'spite', 'protect', 'mud-slap', 'sandstorm', 'endure', 'rollout', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'metal-claw', 'hidden-power', 'rain-dance', 'sunny-day', 'ancient-power', 'rock-smash', 'uproar', 'facade', 'smelling-salts', 'superpower', 'endeavor', 'secret-power', 'rock-tomb', 'metal-sound', 'aerial-ace', 'iron-defense', 'shock-wave', 'water-pulse', 'natural-gift', 'metal-burst', 'magnet-rise', 'rock-polish', 'dragon-rush', 'earth-power', 'shadow-claw', 'iron-head', 'captivate', 'stealth-rock', 'head-smash', 'hone-claws', 'autotomize', 'heavy-slam', 'round', 'bulldoze', 'confide', 'body-press', 'steel-beam', 'steel-roller']","['steel', 'rock']",gray
12,articuno,290,17,articuno,236,554,"['pressure', 'snow-cloak']","['razor-wind', 'gust', 'whirlwind', 'fly', 'headbutt', 'take-down', 'double-edge', 'leer', 'roar', 'mist', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'peck', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'light-screen', 'haze', 'reflect', 'bide', 'swift', 'sky-attack', 'rest', 'substitute', 'mind-reader', 'snore', 'curse', 'powder-snow', 'protect', 'mud-slap', 'icy-wind', 'detect', 'sandstorm', 'endure', 'swagger', 'steel-wing', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'mirror-coat', 'ancient-power', 'rock-smash', 'hail', 'facade', 'helping-hand', 'secret-power', 'weather-ball', 'air-cutter', 'signal-beam', 'sheer-cold', 'aerial-ace', 'icicle-spear', 'water-pulse', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'air-slash', 'brave-bird', 'giga-impact', 'avalanche', 'ice-shard', 'defog', 'ominous-wind', 'round', 'sky-drop', 'frost-breath', 'hurricane', 'freeze-dry', 'confide', 'laser-focus', 'aurora-veil', 'triple-axel', 'dual-wingbeat', 'tera-blast', 'ice-spinner', 'snowscape']","['ice', 'flying']",blue
13,audino,390,11,audino,646,310,"['healer', 'regenerator', 'klutz']","['pound', 'double-slap', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'growl', 'flamethrower', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'low-kick', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'dig', 'toxic', 'psychic', 'double-team', 'light-screen', 'reflect', 'fire-blast', 'amnesia', 'dream-eater', 'flash', 'rest', 'substitute', 'snore', 'protect', 'sweet-kiss', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'heal-bell', 'return', 'frustration', 'safeguard', 'pain-split', 'encore', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'uproar', 'facade', 'focus-punch', 'helping-hand', 'role-play', 'wish', 'magic-coat', 'yawn', 'knock-off', 'skill-swap', 'refresh', 'snatch', 'secret-power', 'hyper-voice', 'signal-beam', 'covet', 'calm-mind', 'gravity', 'healing-wish', 'fling', 'lucky-chant', 'last-resort', 'drain-punch', 'giga-impact', 'zen-headbutt', 'trick-room', 'grass-knot', 'charge-beam', 'psyshock', 'telekinesis', 'simple-beam', 'entrainment', 'after-you', 'round', 'echoed-voice', 'ally-switch', 'heal-pulse', 'incinerate', 'retaliate', 'bestow', 'work-up', 'wild-charge', 'disarming-voice', 'draining-kiss', 'misty-terrain', 'play-nice', 'confide', 'dazzling-gleam', 'baby-doll-eyes', 'power-up-punch', 'laser-focus', 'throat-chop', 'stomping-tantrum', 'life-dew']",['normal'],pink
14,axew,64,6,axew,732,180,"['rivalry', 'mold-breaker', 'unnerve']","['scratch', 'guillotine', 'razor-wind', 'swords-dance', 'cut', 'take-down', 'leer', 'bite', 'roar', 'surf', 'counter', 'strength', 'dragon-rage', 'dig', 'toxic', 'double-team', 'harden', 'focus-energy', 'swift', 'rest', 'slash', 'substitute', 'snore', 'reversal', 'protect', 'scary-face', 'outrage', 'endure', 'false-swipe', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'rock-smash', 'facade', 'taunt', 'superpower', 'brick-break', 'endeavor', 'secret-power', 'rock-tomb', 'aerial-ace', 'dragon-claw', 'dragon-dance', 'shock-wave', 'payback', 'assurance', 'fling', 'poison-jab', 'night-slash', 'aqua-tail', 'x-scissor', 'dragon-pulse', 'giga-impact', 'shadow-claw', 'draco-meteor', 'iron-head', 'hone-claws', 'round', 'incinerate', 'bulldoze', 'dragon-tail', 'dual-chop', 'snarl', 'confide', 'first-impression', 'laser-focus', 'stomping-tantrum', 'breaking-swipe', 'scale-shot', 'tera-blast', 'trailblaze']",['dragon'],green
15,azelf,290,3,azelf,595,3,['levitate'],"['fire-punch', 'ice-punch', 'thunder-punch', 'headbutt', 'flamethrower', 'psybeam', 'hyper-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'confusion', 'psychic', 'double-team', 'light-screen', 'reflect', 'metronome', 'self-destruct', 'fire-blast', 'swift', 'dream-eater', 'flash', 'explosion', 'rest', 'tri-attack', 'substitute', 'snore', 'protect', 'mud-slap', 'detect', 'sandstorm', 'endure', 'swagger', 'sleep-talk', 'return', 'frustration', 'safeguard', 'baton-pass', 'encore', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'future-sight', 'uproar', 'torment', 'facade', 'taunt', 'helping-hand', 'trick', 'role-play', 'magic-coat', 'recycle', 'knock-off', 'skill-swap', 'imprison', 'secret-power', 'signal-beam', 'extrasensory', 'calm-mind', 'shock-wave', 'water-pulse', 'natural-gift', 'u-turn', 'payback', 'assurance', 'fling', 'last-resort', 'drain-punch', 'energy-ball', 'giga-impact', 'nasty-plot', 'psycho-cut', 'zen-headbutt', 'trick-room', 'stealth-rock', 'grass-knot', 'charge-beam', 'wonder-room', 'psyshock', 'telekinesis', 'magic-room', 'round', 'stored-power', 'ally-switch', 'incinerate', 'acrobatics', 'draining-kiss', 'play-rough', 'confide', 'dazzling-gleam', 'power-up-punch', 'laser-focus', 'expanding-force', 'mystical-power', 'tera-blast']",['psychic'],blue
16,azurill,38,2,azurill,277,20,"['thick-fat', 'huge-power', 'sap-sipper']","['slam', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'sing', 'supersonic', 'water-gun', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'toxic', 'mimic', 'double-team', 'defense-curl', 'light-screen', 'waterfall', 'swift', 'bubble', 'splash', 'rest', 'substitute', 'snore', 'protect', 'belly-drum', 'mud-slap', 'perish-song', 'icy-wind', 'endure', 'charm', 'rollout', 'swagger', 'attract', 'sleep-talk', 'return', 'present', 'frustration', 'encore', 'iron-tail', 'hidden-power', 'rain-dance', 'whirlpool', 'uproar', 'hail', 'facade', 'helping-hand', 'knock-off', 'refresh', 'secret-power', 'camouflage', 'hyper-voice', 'fake-tears', 'tickle', 'muddy-water', 'bounce', 'mud-shot', 'covet', 'water-sport', 'water-pulse', 'natural-gift', 'copycat', 'captivate', 'aqua-jet', 'soak', 'round', 'scald', 'work-up', 'draining-kiss', 'confide', 'brutal-swing', 'tera-blast']","['normal', 'fairy']",blue
17,bagon,60,6,bagon,492,421,"['rock-head', 'sheer-force']","['cut', 'headbutt', 'body-slam', 'take-down', 'thrash', 'double-edge', 'leer', 'bite', 'roar', 'ember', 'flamethrower', 'hydro-pump', 'strength', 'dragon-rage', 'fire-spin', 'toxic', 'rage', 'mimic', 'double-team', 'defense-curl', 'focus-energy', 'fire-blast', 'rest', 'rock-slide', 'substitute', 'snore', 'protect', 'scary-face', 'mud-slap', 'outrage', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dragon-breath', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'crunch', 'rock-smash', 'facade', 'helping-hand', 'brick-break', 'secret-power', 'hyper-voice', 'rock-tomb', 'aerial-ace', 'iron-defense', 'dragon-claw', 'dragon-dance', 'natural-gift', 'dragon-pulse', 'dragon-rush', 'shadow-claw', 'thunder-fang', 'fire-fang', 'zen-headbutt', 'draco-meteor', 'iron-head', 'captivate', 'hone-claws', 'round', 'incinerate', 'dragon-tail', 'confide', 'tera-blast']",['dragon'],blue
18,baltoy,60,5,baltoy,456,215,['levitate'],"['headbutt', 'double-edge', 'ice-beam', 'psybeam', 'solar-beam', 'earthquake', 'dig', 'toxic', 'confusion', 'psychic', 'mimic', 'double-team', 'harden', 'light-screen', 'reflect', 'self-destruct', 'dream-eater', 'flash', 'explosion', 'rest', 'rock-slide', 'substitute', 'snore', 'protect', 'mud-slap', 'sandstorm', 'endure', 'swagger', 'sleep-talk', 'return', 'frustration', 'safeguard', 'rapid-spin', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'ancient-power', 'shadow-ball', 'facade', 'trick', 'magic-coat', 'recycle', 'skill-swap', 'imprison', 'secret-power', 'rock-tomb', 'cosmic-power', 'signal-beam', 'extrasensory', 'sand-tomb', 'calm-mind', 'gravity', 'gyro-ball', 'natural-gift', 'heal-block', 'power-trick', 'power-swap', 'guard-swap', 'rock-polish', 'earth-power', 'zen-headbutt', 'trick-room', 'stealth-rock', 'grass-knot', 'charge-beam', 'guard-split', 'power-split', 'wonder-room', 'psyshock', 'telekinesis', 'smack-down', 'round', 'ally-switch', 'hex', 'bulldoze', 'drill-run', 'confide', 'eerie-impulse', 'dazzling-gleam', 'psychic-terrain', 'expanding-force', 'scorching-sands']","['ground', 'psychic']",brown
19,banette,159,11,banette,470,125,"['insomnia', 'frisk', 'cursed-body']","['swords-dance', 'headbutt', 'body-slam', 'double-edge', 'psybeam', 'hyper-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'psychic', 'night-shade', 'mimic', 'screech', 'double-team', 'confuse-ray', 'metronome', 'dream-eater', 'flash', 'rest', 'substitute', 'thief', 'nightmare', 'snore', 'curse', 'spite', 'protect', 'scary-face', 'feint-attack', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pain-split', 'encore', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'torment', 'will-o-wisp', 'facade', 'taunt', 'helping-hand', 'trick', 'role-play', 'magic-coat', 'knock-off', 'skill-swap', 'imprison', 'grudge', 'snatch', 'secret-power', 'calm-mind', 'shock-wave', 'natural-gift', 'payback', 'embargo', 'fling', 'sucker-punch', 'dark-pulse', 'giga-impact', 'nasty-plot', 'shadow-claw', 'shadow-sneak', 'trick-room', 'gunk-shot', 'captivate', 'charge-beam', 'ominous-wind', 'telekinesis', 'magic-room', 'foul-play', 'round', 'ally-switch', 'hex', 'phantom-force', 'confide', 'dazzling-gleam', 'infestation', 'throat-chop', 'tera-blast', 'pounce', 'trailblaze']",['ghost'],black
20,barboach,58,4,barboach,452,19,"['oblivious', 'anticipation', 'hydration']","['headbutt', 'take-down', 'thrash', 'double-edge', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'earthquake', 'fissure', 'toxic', 'mimic', 'double-team', 'waterfall', 'swift', 'amnesia', 'rest', 'rock-slide', 'substitute', 'snore', 'flail', 'protect', 'mud-slap', 'icy-wind', 'outrage', 'sandstorm', 'endure', 'swagger', 'spark', 'attract', 'sleep-talk', 'return', 'frustration', 'magnitude', 'hidden-power', 'rain-dance', 'sunny-day', 'future-sight', 'whirlpool', 'hail', 'facade', 'helping-hand', 'secret-power', 'dive', 'mud-sport', 'rock-tomb', 'muddy-water', 'bounce', 'mud-shot', 'water-sport', 'dragon-dance', 'water-pulse', 'natural-gift', 'aqua-tail', 'earth-power', 'mud-bomb', 'zen-headbutt', 'stone-edge', 'captivate', 'stealth-rock', 'round', 'scald', 'bulldoze', 'confide', 'stomping-tantrum', 'liquidation', 'tera-blast', 'chilling-water']","['water', 'ground']",gray
21,beldum,60,6,beldum,496,952,"['clear-body', 'light-metal']","['headbutt', 'tackle', 'take-down', 'iron-defense', 'zen-headbutt', 'iron-head', 'steel-beam']","['steel', 'psychic']",blue
22,bellsprout,60,7,bellsprout,110,40,"['chlorophyll', 'gluttony']","['swords-dance', 'cut', 'bind', 'slam', 'vine-whip', 'headbutt', 'wrap', 'take-down', 'double-edge', 'acid', 'mega-drain', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'stun-spore', 'sleep-powder', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'leech-life', 'flash', 'rest', 'substitute', 'thief', 'snore', 'curse', 'protect', 'sludge-bomb', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'encore', 'sweet-scent', 'synthesis', 'hidden-power', 'sunny-day', 'facade', 'nature-power', 'ingrain', 'knock-off', 'secret-power', 'weather-ball', 'tickle', 'bullet-seed', 'magical-leaf', 'natural-gift', 'wring-out', 'gastro-acid', 'worry-seed', 'sucker-punch', 'poison-jab', 'seed-bomb', 'energy-ball', 'power-whip', 'captivate', 'grass-knot', 'venoshock', 'acid-spray', 'round', 'clear-smog', 'belch', 'confide', 'infestation', 'strength-sap']","['grass', 'poison']",green
